"COUNTRY","Country","AGE","Age","INTENSITY","Intensity","SEX","Sex","ISC11_LEVEL","Level of education","ORIENTATION","Category of education","INDICATOR","Indicator ","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DNK","Denmark","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,60.6,,
"DNK","Denmark","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,60.6,,
"DNK","Denmark","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,60.5,,
"FIN","Finland","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,27.5,,
"FIN","Finland","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,27.6,,
"FIN","Finland","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,27.5,,
"FRA","France","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,4.1,,
"FRA","France","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,4.3,,
"FRA","France","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,3.9,,
"DEU","Germany","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,36.6,,
"DEU","Germany","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,36.6,,
"DEU","Germany","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,36.6,,
"GRC","Greece","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,13.7,,
"GRC","Greece","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0,,
"GRC","Greece","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0,,
"HUN","Hungary","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,3.6,,
"HUN","Hungary","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,3.9,,
"HUN","Hungary","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,3.3,,
"ISL","Iceland","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,,"M","Missing value; data cannot exist"
"ISL","Iceland","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,,"M","Missing value; data cannot exist"
"ISL","Iceland","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,,"M","Missing value; data cannot exist"
"IRL","Ireland","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0,,
"IRL","Ireland","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0,,
"IRL","Ireland","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0,,
"ITA","Italy","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,5.2,,
"ITA","Italy","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,5.2,,
"ITA","Italy","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,5.2,,
"JPN","Japan","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0.2,,
"JPN","Japan","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0.2,,
"JPN","Japan","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0.2,,
"KOR","Korea","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,,"M","Missing value; data cannot exist"
"KOR","Korea","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,,"M","Missing value; data cannot exist"
"KOR","Korea","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,,"M","Missing value; data cannot exist"
"LUX","Luxembourg","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,1.8,,
"LUX","Luxembourg","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,1.6,,
"LUX","Luxembourg","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,1.9,,
"MEX","Mexico","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,2.6,,
"MEX","Mexico","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,2.6,,
"MEX","Mexico","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,2.7,,
"NLD","Netherlands","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0,,
"NLD","Netherlands","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0,,
"NLD","Netherlands","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0,,
"NZL","New Zealand","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,41,,
"NZL","New Zealand","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,42,,
"NZL","New Zealand","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,40.1,,
"NOR","Norway","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,55,,
"NOR","Norway","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,55,,
"NOR","Norway","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,55,,
"POL","Poland","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,2,,
"POL","Poland","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,2.1,,
"POL","Poland","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,1.9,,
"PRT","Portugal","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0,,
"PRT","Portugal","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0,,
"PRT","Portugal","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0,,
"SVK","Slovak Republic","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,4.1,"x","Data included in another category"
"SVK","Slovak Republic","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,4.4,"x","Data included in another category"
"SVK","Slovak Republic","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,3.9,"x","Data included in another category"
"ESP","Spain","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,32.8,,
"ESP","Spain","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,32.5,,
"ESP","Spain","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,33.1,,
"SWE","Sweden","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,46,,
"SWE","Sweden","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,46,,
"SWE","Sweden","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,46.1,,
"CHE","Switzerland","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0,,
"CHE","Switzerland","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0,,
"CHE","Switzerland","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0,,
"TUR","Turkey","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0.1,,
"TUR","Turkey","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0.1,,
"TUR","Turkey","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0.1,,
"GBR","United Kingdom","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,6.9,,
"GBR","United Kingdom","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,6.8,,
"GBR","United Kingdom","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,6.9,,
"USA","United States","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0,,
"USA","United States","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0,,
"USA","United States","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0,,
"BRA","Brazil","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,16.8,,
"BRA","Brazil","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,16.3,,
"BRA","Brazil","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,17.2,,
"CHL","Chile","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,18.3,,
"CHL","Chile","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,18,,
"CHL","Chile","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,18.5,,
"CHN","China (People's Republic of)","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0,,
"CHN","China (People's Republic of)","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0,,
"CHN","China (People's Republic of)","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0,,
"COL","Colombia","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0,"x","Data included in another category"
"COL","Colombia","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0,"x","Data included in another category"
"COL","Colombia","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0,"x","Data included in another category"
"EST","Estonia","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0,,
"EST","Estonia","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0,,
"EST","Estonia","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0,,
"IND","India","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,,"M","Missing value; data cannot exist"
"IND","India","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,,"M","Missing value; data cannot exist"
"IND","India","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,,"M","Missing value; data cannot exist"
"IDN","Indonesia","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,2.4,,
"IDN","Indonesia","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,2.4,,
"IDN","Indonesia","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,2.5,,
"ISR","Israel","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,33,,
"ISR","Israel","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,32.4,,
"ISR","Israel","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,33.6,,
"LVA","Latvia","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0,,
"LVA","Latvia","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0,,
"LVA","Latvia","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0,,
"RUS","Russia","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,17.1,,
"RUS","Russia","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,16.6,,
"RUS","Russia","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,17.5,,
"SAU","Saudi Arabia","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,0,,
